Campaign_id,start_date,end_date,Impression,duration_days,CW0,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CW10,CW11,CW12,CW13,CW14,CW15,CW16,CW17,CW18,CW19,CW20,CW21,CW22,CW23,CW24,CW25,CW26,CW27,CW28,CW29,CW30,CW31,CW32,CW33,CW34,CW35,CW36,CW37,CW38,CW39,CW40,CW41,CW42,CW43,CW44,CW45,CW46,CW47,CW48,CW49,CW50,CW51,CW52,total_weeks
52248503,2017-09-01 00:00:00,2017-09-06 00:00:00,19578459,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9789229,9789230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52248568,2017-04-22 00:00:00,2017-04-22 00:00:00,8820844,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8820844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52248809,2017-09-08 00:00:00,2017-09-08 00:00:00,7510801,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7510801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52250800,2017-04-05 00:00:00,2017-04-05 00:00:00,5747402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5747402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52250871,2017-05-28 00:00:00,2017-06-03 00:00:00,9787233,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398176,8389057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52250956,2017-03-16 00:00:00,2017-03-23 00:00:00,60672062,8,0,0,0,0,0,0,0,0,0,0,0,30336031,30336031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52250995,2017-03-01 00:00:00,2017-03-01 00:00:00,343556,1,0,0,0,0,0,0,0,0,0,343556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52251293,2017-10-12 00:00:00,2017-10-12 00:00:00,4909602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4909602,0,0,0,0,0,0,0,0,0,0,0,1
52251385,2017-04-14 00:00:00,2017-04-23 00:00:00,2046831,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614049,1432782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52252400,2017-08-04 00:00:00,2017-08-18 00:00:00,163165,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32633,76144,54388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
52252892,2017-09-07 00:00:00,2017-09-14 00:00:00,7162800,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3581400,3581400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
